state,county,tract,NAME.x,TotalPop_12,TotalPopMOE_12,TR_Italian_12,TR_ItalianMOE_12,Census_Tract.x,County.x,State.x,TotalPop_17,TotalPopMOE_17,TR_Italian_17,TR_ItalianMOE_17
36,047,050803,"Census Tract 508.03, Kings County, New York",2238,441,6,9,Census Tract 508.03,Kings County,New York,2260,299,68,34
36,047,050804,"Census Tract 508.04, Kings County, New York",5957,558,83,62,Census Tract 508.04,Kings County,New York,6297,731,121,98
36,047,050900,"Census Tract 509, Kings County, New York",3725,459,26,49,Census Tract 509,Kings County,New York,4743,449,12,12
36,047,051001,"Census Tract 510.01, Kings County, New York",3778,585,18,32,Census Tract 510.01,Kings County,New York,4361,445,103,65
36,047,051002,"Census Tract 510.02, Kings County, New York",4624,389,8,14,Census Tract 510.02,Kings County,New York,4595,395,52,40
36,047,051100,"Census Tract 511, Kings County, New York",3732,427,235,148,Census Tract 511,Kings County,New York,4317,393,137,62
36,047,051200,"Census Tract 512, Kings County, New York",6741,408,0,17,Census Tract 512,Kings County,New York,5907,576,84,57
36,047,051300,"Census Tract 513, Kings County, New York",4072,370,306,148,Census Tract 513,Kings County,New York,5058,597,290,146
36,047,051400,"Census Tract 514, Kings County, New York",7733,743,89,57,Census Tract 514,Kings County,New York,7947,726,167,128
36,047,051500,"Census Tract 515, Kings County, New York",1326,245,192,84,Census Tract 515,Kings County,New York,2024,201,289,149
36,047,051601,"Census Tract 516.01, Kings County, New York",5804,804,66,66,Census Tract 516.01,Kings County,New York,5506,566,0,16
36,047,051602,"Census Tract 516.02, Kings County, New York",3168,484,64,71,Census Tract 516.02,Kings County,New York,4235,484,24,28
36,047,051700,"Census Tract 517, Kings County, New York",1657,249,130,70,Census Tract 517,Kings County,New York,2343,217,151,77
36,047,051800,"Census Tract 518, Kings County, New York",3470,491,62,54,Census Tract 518,Kings County,New York,3307,362,134,77
36,047,051900,"Census Tract 519, Kings County, New York",3796,431,308,101,Census Tract 519,Kings County,New York,5159,437,565,211
36,047,052000,"Census Tract 520, Kings County, New York",4303,356,50,35,Census Tract 520,Kings County,New York,4684,337,256,113
36,047,052300,"Census Tract 523, Kings County, New York",5581,503,163,102,Census Tract 523,Kings County,New York,5511,621,157,75
36,047,052500,"Census Tract 525, Kings County, New York",3142,531,54,36,Census Tract 525,Kings County,New York,3423,514,141,64
36,047,052600,"Census Tract 526, Kings County, New York",3950,379,184,108,Census Tract 526,Kings County,New York,4737,603,148,83
36,047,052700,"Census Tract 527, Kings County, New York",6633,641,108,82,Census Tract 527,Kings County,New York,6776,752,33,30
36,047,089000,"Census Tract 890, Kings County, New York",6520,759,0,17,Census Tract 890,Kings County,New York,5892,783,0,16
36,047,089200,"Census Tract 892, Kings County, New York",3420,471,31,48,Census Tract 892,Kings County,New York,3460,484,1,3
36,047,089400,"Census Tract 894, Kings County, New York",3442,392,0,12,Census Tract 894,Kings County,New York,3449,454,18,22
36,047,089600,"Census Tract 896, Kings County, New York",3147,387,24,30,Census Tract 896,Kings County,New York,3327,485,0,11
